H2                   200  6000  1000
 4.04374930E+00  3.61233550E-03 -9.59460290E-07  1.27933720E-10 -6.95266120E-15  6.59479610E+04  1.97035220E+00
 1.77181960E+00  1.70701460E-02 -2.00735900E-05  8.87795260E-09 -8.33041590E-13  6.58400780E+04  1.10533920E+01
C2H3                 300  5000  1000
 5.05883600E+00  5.40125560E-03 -1.21193580E-06  1.42714060E-10 -7.12726560E-15  3.37216950E+04 -3.00214770E+00
 1.23165540E+00  1.46593540E-02 -9.51360200E-06  3.64669490E-09 -6.26403390E-13  3.49349100E+04  1.73146400E+01
C2H5                 300  5000  1000
 7.19048000E+00  6.48407700E-03 -6.42806400E-07 -2.34787900E-10  3.88087700E-14  1.06745490E+04 -1.47808920E+01
 2.69070100E+00  8.71913300E-03  4.41983800E-06  9.33870300E-10 -3.92777300E-12  1.28704040E+04  1.21381950E+01
CHCO                 300  5000  1000
 6.75807300E+00  2.00040000E-03 -2.02760700E-07 -1.04113200E-10  1.96516500E-14  1.90151300E+04 -9.07126200E+00
 5.04796500E+00  4.45347800E-03  2.26828300E-07 -1.48209500E-09  2.25074200E-13  1.96589200E+04  4.81843900E-01
CH2CHO               300  5000  1000
 5.97600000E+00  8.13100000E-03 -2.74400000E-06  4.07000000E-10 -2.17600000E-14  4.90300000E+02 -5.04500000E+00
-5.49040000E+01  4.51253000E-01 -1.17037000E-03  1.30375000E-06 -5.19201000E-10  7.54530000E+03  2.51103000E+02
CH3CO                300  5000  1000
 1.09371840E+01  5.44143490E-04 -1.58658760E-08 -2.31073920E-13  4.62528230E-17 -6.07338090E+03 -3.33421250E+01
 3.85792660E+00  5.40231490E-03  9.49966670E-06 -9.34900250E-09  2.06671940E-12 -2.67119410E+03  8.54330640E+00
C2H5O                300  5000  1000
 8.79327000E+00  8.37917000E-03 -1.93446000E-06  2.29371000E-10 -1.13191000E-14 -6.03107000E+03 -2.23324000E+01
-6.00093000E-01  3.17670000E-02 -2.42586000E-05  1.08137000E-08 -2.26856000E-12 -3.08491000E+03  2.73650000E+01
C2H4OOH              300  5000  1000
 9.84526730E+00  1.00405730E-02 -2.47791330E-06  3.13587410E-10 -1.64729210E-14  8.02780270E+02 -2.04838790E+01
 1.10506120E+00  4.14906700E-02 -4.71849530E-05  3.03931780E-08 -8.09186140E-12  2.81546340E+03  2.27870660E+01
C2H5OO               300  5000  1000
 1.13253000E+01  8.28625000E-03 -1.86203000E-06  2.18209000E-10 -1.07868000E-14 -6.98659000E+03 -3.29488000E+01
 6.72056000E-01  3.62757000E-02 -3.00008000E-05  1.38479000E-08 -2.84583000E-12 -3.78886000E+03  2.28869000E+01
CH3COOO              300  5000  1000
 5.83706190E+00  1.45179370E-02 -4.58537810E-06  6.92389650E-10 -4.09728880E-14 -2.46367970E+04  3.56861110E-01
-1.09234320E+00  3.91621440E-02 -3.33218890E-05  1.33454560E-08 -1.68048130E-12 -2.32860210E+04  3.41397290E+01
1C3H7                300  5000  1000
 4.90850000E+00  1.95492000E-02 -6.09862000E-06  9.08986000E-10 -5.30994000E-14  9.72711000E+03  2.41566000E-01
-9.97049000E-01  4.22637000E-02 -3.67683000E-05  1.83985000E-08 -3.66617000E-12  1.08489000E+04  2.87294000E+01
1C4H9                300  5000  1000
 7.04485000E+00  2.53221000E-02 -8.04531000E-06  1.21383000E-09 -7.14512000E-14  5.52642000E+03 -9.13080000E+00
-5.06119000E-01  5.07221000E-02 -3.74398000E-05  1.45966000E-08 -1.90079000E-12  7.19571000E+03  2.83231000E+01
CH3OCO               300  5000  1000
 9.73659000E+00  7.42432000E-03 -2.65641000E-06  4.25031000E-10 -2.51824000E-14 -2.36015000E+04 -2.36353000E+01
 4.16215000E+00  1.38037000E-02 -3.08486000E-07 -4.56430000E-09  1.46909000E-12 -2.10130000E+04  8.64301000E+00
CO2H                 200  6000  1000
 5.39206152E+00  4.11221455E-03 -1.48194900E-06  2.39875460E-10 -1.43903104E-14 -2.36480760E+04 -2.23529091E+00
 2.92207919E+00  7.62453859E-03  3.29884437E-06 -1.07135205E-08  5.11587057E-12 -2.33512327E+04  1.12925886E+01
2C2H4OH              300  5000  1000
 7.59440140E+00  9.32293390E-03 -3.03038540E-06  4.32163190E-10 -2.19700390E-14 -5.77278520E+03 -1.39687350E+01
 1.40195080E+00  2.15431750E-02 -2.23265120E-06 -1.44640920E-08  8.04884200E-12 -3.84645190E+03  1.91358180E+01
1C2H4OH              300  5000  1000
 6.76654240E+00  1.16344360E-02 -3.77906510E-06  5.38288750E-10 -2.73153450E-14 -5.60929690E+03 -9.39804420E+00
 2.48133280E+00  1.67900360E-02  3.77554990E-06 -1.39234970E-08  6.00951930E-12 -4.01200540E+03  1.45816220E+01
2C3H7                300  5000  1000
 6.68634700E+00  1.64684260E-02 -4.79456820E-06  6.86589450E-10 -3.93672520E-14  7.60343360E+03 -1.04921910E+01
 7.67633380E-01  3.08647710E-02 -1.49117970E-05  7.10565990E-10  1.61019460E-12  9.36047750E+03  2.06347220E+01
2C4H9                300  5000  1000
 9.17478660E+00  2.15854460E-02 -6.44121340E-06  9.37556810E-10 -5.42898040E-14  3.86668750E+03 -2.10232890E+01
 2.92045330E-02  4.80170620E-02 -3.53442340E-05  1.53350650E-08 -2.80776990E-12  6.38212010E+03  2.60612530E+01
C3H5                 300  5000  1000
 8.45883958E+00  1.12695483E-02 -3.83792864E-06  5.94059119E-10 -3.43918030E-14  1.63576092E+04 -2.25809450E+01
-5.29131958E-01  3.34559100E-02 -2.53401027E-05  1.02865754E-08 -1.73258340E-12  1.93834226E+04  2.53067131E+01
C4H7                 300  5000  1000
 1.12103578E+01  1.60483196E-02 -5.46502292E-06  8.45941053E-10 -4.89772739E-14  1.09041937E+04 -3.55593015E+01
